"[[[65.0, 90.0, 2.2222222222222223], [77.0, 90.0, 1.6666666666666667], [77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112]]]",19,306,326
"[[[77.0, 90.0, 1.6666666666666667], [77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112]]]",20,"['41', 'T']"
"[[[77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112]]]",21,"['42', 'T']"
"[[[76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667]]]",22,"['43', 'T']"
"[[[74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556]]]",23,"['44', 'T']"
"[[[72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223]]]",24,"['45', 'T']"
"[[[71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112]]]",25,"['46', 'T']"
"[[[72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112]]]",26,"['47', 'T']"
"[[[74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112]]]",27,"['48', 'T']"
"[[[72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112]]]",28,"['49', 'T']"
"[[[72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112]]]",29,"['50', 'T']"
